Question,Answer
1. অনলাইন ব্যাচের সঙ্গে সম্পর্কিত যেকোনো জিজ্ঞাসার উত্তর পেতে কী করা উচিত?,উত্তর উপলব্ধ নয়।
2. সমাজে হঠাৎ বিত্তশালী হয়ে ওঠা নিম্নবিত্ত ব্যক্তির কারণে কী ধরনের পরিচয় সংকট দেখা দিতে পারে?,উত্তর উপলব্ধ নয়।
3. তৎকালীন সমাজে পণপ্রথার কুপ্রভাব সম্পর্কে আপনার কী ধারণা?,"তৎকালীন সমাজে পণপ্রথার কুপ্রভাব সম্পর্কে ধারণা পাওয়া যায় যে এটি একটি সামাজিক ব্যাধি হিসেবে উপস্থিত ছিল, যার জন্য অনেকেরই আত্মসম্মানবোধহীন ও অমানবিক আচরণ করতে হত। বরপক্ষের দাবি পূরণ করতে কন্যার পিতাকে কখনো কখনো সর্বস্বান্ত হতে হত।"
"4. ""নারী কোমল হলেও দুর্বল নয়"" - এই সত্য কল্যাণীর জীবনগল্পে কীভাবে প্রতিভাত হয়েছে?","কল্যাণীর জীবনগল্পে ""নারী কোমল হলেও দুর্বল নয়"" এই সত্যটি প্রতিভাত হয়েছে তার বিয়ে না করার সিদ্ধান্তের মাধ্যমে। যৌতুকের অন্যায় আবদার প্রত্যাখ্যান করে কল্যাণী নিজের আত্মমর্যাদা ও ব্যক্তিত্বকে রক্ষা করে, যা প্রমাণ করে যে তিনি দুর্বল নন বরং আত্মনির্ভরশীল।"
"5. অনুপমের দৃষ্টান্তে মানবজীবনের চিরন্তন সত্য, আশার গুরুত্ব কীভাবে ফুটে উঠেছে?",উত্তর উপলব্ধ নয়।
6. দীপু ও তার চাচার সম্পর্কের মধ্যে 'অপরিচিতা' গল্পের মামার চরিত্রের সঙ্গে কী ধরনের সাদৃশ্য আছে? দয়া করে উদাহরণসহ ব্যাখ্যা করুন।,"দীপু ও তার চাচার সম্পর্কের মধ্যে 'অপরিচিতা' গল্পের মামার চরিত্রের সঙ্গে সাদৃশ্য হলো, দুজনই বিয়ে সংক্রান্ত বিষয়ে কঠোর ভূমিকা পালন করেন। দীপুর চাচা তার বিয়ের উদ্যোগ নিলেও যৌতুক নিয়ে বাড়াবাড়ি করার কারণে কন্যার পিতা অপমানিত হয়ে বিয়ের আলোচনা ভেঙে দেন। অনুরূপভাবে 'অপরিচিতা' গল্পের মামা বিয়েবাড়ির আয়োজন ও আতিথেয়তায় খুশি হননি কারণ সেগুলি তার প্রত্যাশা অনুযায়ী ছিল না। উভয় ক্ষেত্রেই দেখা যায়, তারা ব্যক্তিগত মতামত ও প্রত্যাশাকে অধিক গুরুত্ব দিয়েছেন।"
7. অনুপমের আত্মসমালোচনার মাধ্যমে তার জীবনের কোন দিকগুলো তুচ্ছ মনে হয় এবং কেন?,উত্তর উপলব্ধ নয়।
8. দেবী দুর্গার দুই পুত্রের নাম কী এবং তাদের মধ্যে কে বড় এবং কে ছোট?,দেবী দুর্গার দুই পুত্রের নাম হল অগ্রজ গণেশ এবং অনুজ কার্তিকেয়।
9. ভারতের গয়া অঞ্চলের অন্তঃসলিলা নদীর কোন বিশেষ বৈশিষ্ট্য আছে?,"ভারতের গয়া অঞ্চলের অন্তঃসলিলা নদীর বিশেষ বৈশিষ্ট্য হলো, নদীটির ওপরের অংশে বালির আস্তরণ আছে কিন্তু ভেতরে জলস্রোত প্রবাহিত।"
10. অনুপমের মামার চরিত্র-বৈশিষ্ট্য সম্পর্কে উপমা দ্বারা কী বোঝানো হয়েছে?,উত্তর উপলব্ধ নয়।
নতুন প্রশ্ন:,উত্তর উপলব্ধ নয়।
11. দীপু কীভাবে তার চাচার কর্তৃত্ব মেনে নেয় এবং তার জীবনে এর প্রভাব কী?,উত্তর উপলব্ধ নয়।
"1. অনুপম কেন তার বিবাহযাত্রার পরিস্থিতিকে সংগীত সরস্বতীর পদ্মবন দলিত হওয়ার ঘটনার সঙ্গে তুলনা করেছে, এবং কিভাবে এটি তার মামার চরিত্র-বৈশিষ্ট্য প্রসঙ্গে প্রযোজ্য?","অনুপম তার বিবাহযাত্রার পরিস্থিতিকে সংগীত সরস্বতীর পদ্মবন দলিত হওয়ার ঘটনার সঙ্গে তুলনা করেছে কারণ সেখানে যতপ্রকার উচ্চ শব্দ ছিল, যাতে সমস্ত পরিবেশ ক্ষুণ্ণ হয়ে গিয়েছিল। এটি তার মামার চরিত্র-বৈশিষ্ট্য প্রসঙ্গে প্রযোজ্য কারণ মামা সবসময় বুদ্ধির লড়াইয়ে জিততে এবং তার পরিবারের গর্ব বাড়াতে চেয়েছেন, যা প্রকাশ পায় তিনি বিয়েতে গহনার পরিমাণ দেখে খুশি না হওয়ার কারণে। যা তার লোভ এবং অন্যের উপর প্রভাব বিস্তারের ইচ্ছাকে নির্দেশ করে।"
"2. ""একমুখ বা এককোষ জল"" বলতে কী বোঝানো হয়েছে, এবং এটির মাধ্যমে মেয়েদের স্বামী নির্বাচন প্রসঙ্গে কী প্রকাশ পায়?",উত্তর উপলব্ধ নয়।
"3. ""আনন্দহীন প্রচুর অবসর"" বলতে এখানে কী বোঝানো হয়েছে, এবং এটি কিভাবে মানবজীবনের কর্মবিরতির প্রসঙ্গকে তুলে ধরে?",উত্তর উপলব্ধ নয়।
"4. লক্ষ্মী এবং মঙ্গলঘট প্রসঙ্গে কবিতাটি কী বার্তা প্রদান করছে, এবং কল্যাণীদের বংশের প্রাচীন এঁশ্বর্যের ঘটনার সঙ্গে এটি কিভাবে সম্পর্কিত?",উত্তর উপলব্ধ নয়।
"5. পাঠ্যে ভারতের কোন অঞ্চলকে ""পশ্চিম অঞ্চল"" হিসেবে উল্লেখ করা হয়েছে, এবং এর ভৌগোলিক অবস্থান কীভাবে বর্ণিত হয়েছে?",উত্তর উপলব্ধ নয়।
"6. ""স্বদেশি আন্ডামান বা আন্দামানে পাঠানো"" বাক্যে কী বোঝানো হয়েছে, এবং বঙ্গোপসাগরের কোন দ্বীপের প্রসঙ্গ এখানে উঠে আসে?",উত্তর উপলব্ধ নয়।
"7. মনু-প্রণীত গ্রন্থ সম্পর্কে এখানে কী উল্লেখ করা হয়েছে, এবং এটি মানুষের আচরণবিধি সম্পর্কিত কোন ভাবনা প্রকাশ করে?",উত্তর উপলব্ধ নয়।
"8. মদনদেবের পাঁচ ধরনের বাণের ব্যবহার কিভাবে ব্যাখ্যা করা হয়েছে, এবং এর প্রতীকী তাৎপর্য কি?",উত্তর উপলব্ধ নয়।
